name,online_order,book_table,rate,votes,location,rest_type,cuisines,average cost for 2
Bonsouth,Yes,Yes,4.2,2620,Koramangala 5th Block,Casual Dining,Andhra Chettinad Kerala,1300.0
Onesta,Yes,Yes,4.4,9080,Koramangala 4th Block,Cafe Casual Dining,Cafe Italian Pizza,600.0
Third Wave Coffee Roasters,No,No,4.4,1225,Koramangala 4th Block,Cafe,Cafe Continental Desserts,800.0
Sixth Avenue Cafe And Patisserie,No,No,4.4,174,Koramangala 5th Block,Cafe Dessert Parlor,Cafe Desserts Italian,600.0
Bistro Claytopia,Yes,Yes,4.1,1855,Koramangala 1st Block,Cafe,American Burger Cafe Italian,600.0
XO Belgian Waffle,Yes,No,4.6,834,Koramangala 5th Block,Dessert Parlor,Beverages Desserts,400.0
Stoner,Yes,No,4.5,2621,Koramangala 5th Block,Cafe Dessert Parlor,Beverages Burger Cafe Cream Desserts Ice Pizza,500.0
Roundup Cafe,Yes,Yes,4.2,505,Koramangala 5th Block,Cafe,Beverages Cafe Continental,800.0
Lot Like Crepes,Yes,No,4.6,1026,Koramangala 7th Block,Cafe Dessert Parlor,Cafe Continental Desserts,550.0
Snow'ora,Yes,Yes,4.3,343,Koramangala 4th Block,Bites Quick,Beverages Cream Desserts Ice,450.0
Krem,Yes,No,4.1,61,Koramangala 5th Block,Dessert Parlor,Beverages Cream Desserts Ice Sandwich,450.0
Occasions,Yes,No,4.3,190,Koramangala 4th Block,Bakery,Bakery Desserts,400.0
Anand Sweets And Savouries,Yes,No,4.2,1077,Koramangala 5th Block,Shop Sweet,Food Mithai Street,400.0
99 Pancakes,Yes,No,4.5,345,Koramangala 5th Block,Cafe Dessert Parlor,Cafe Desserts,300.0
eat.fit,Yes,No,4.6,155,Koramangala 5th Block,Delivery,Biryani Continental Desserts Food Healthy Indian North Sandwich,500.0
Art of Delight,No,No,4.3,450,Koramangala 5th Block,Dessert Parlor,Beverages Cream Desserts Ice,400.0
Vegan Heat,Yes,No,4.1,314,Koramangala 1st Block,Delivery Takeaway,Food Healthy Salad,650.0
Corner House Ice Cream,Yes,No,4.6,278,Koramangala 5th Block,Dessert Parlor,Cream Desserts Ice,400.0
Berry'd Alive,Yes,No,4.3,1902,Koramangala 5th Block,Dessert Parlor,Desserts,400.0
Tangerine - Davanam Sarovar Portico Suites,Yes,Yes,4.0,151,Koramangala 2nd Block,Casual Dining,Asian Bakery Chinese Continental European Indian Italian Japanese North,1100.0
Smally's Resto Cafe,Yes,Yes,4.2,1705,Koramangala 5th Block,Cafe,American Burger Cafe Italian Steak,650.0
Cupcake Noggins,No,No,4.1,724,Koramangala 4th Block,Bakery Dessert Parlor,Bakery Desserts,300.0
Cream Chemistry,Yes,No,3.9,231,Koramangala 5th Block,Dessert Parlor,Cream Desserts Ice,500.0
Smoor,Yes,No,4.2,603,Koramangala 7th Block,Dessert Parlor,Beverages Desserts,900.0
The Belgian Waffle Co.,Yes,No,4.2,180,Koramangala 5th Block,Dessert Parlor,Beverages Desserts,350.0
BelgYum,Yes,No,4.0,69,Koramangala 7th Block,Dessert Parlor,Desserts,400.0
Belgian Waffle Factory,Yes,No,4.8,189,Koramangala 5th Block,Dessert Parlor,Desserts,400.0
Bite Me Cupcakes,Yes,No,4.1,192,Koramangala 4th Block,Dessert Parlor,Desserts,300.0
Natural Ice Cream,No,No,4.5,941,Koramangala 1st Block,Dessert Parlor,Beverages Cream Ice,200.0
Frozen Bottle,Yes,No,4.1,240,Koramangala 5th Block,Beverage Shop,Beverages Cream Desserts Ice,400.0
The Marash,Yes,No,4.3,68,Koramangala 5th Block,Dessert Parlor,Desserts Turkish,250.0
Mad Over Donuts,Yes,No,4.2,703,Koramangala 7th Block,Dessert Parlor,Bakery Beverages Desserts,450.0
CakeWalk,No,No,4.0,366,Koramangala 4th Block,Bakery Dessert Parlor,Bakery Desserts,300.0
Cream Stone,Yes,No,4.2,340,Koramangala 5th Block,Dessert Parlor,Beverages Desserts,500.0
Black Deer,Yes,No,4.4,149,Koramangala 5th Block,Delivery Takeaway,Beverages Desserts,350.0
Lassi Shop,Yes,No,4.1,211,Koramangala 5th Block,Beverage Shop,Beverages Cream Ice,200.0
Sweet Chariot,Yes,No,4.0,187,Koramangala 7th Block,Bakery Dessert Parlor,Bakery Fast Food,500.0
Bakingo,Yes,No,4.0,76,Koramangala 1st Block,Bakery,Bakery Desserts,500.0
WAFL Co,Yes,No,4.2,53,Koramangala 5th Block,Dessert Parlor,Beverages Desserts,400.0
Keventers,Yes,No,4.0,169,Koramangala 5th Block,Beverage Dessert Parlor Shop,Beverages Cream Desserts Ice,400.0
Haagen Dazs,Yes,No,3.9,79,Koramangala 7th Block,Dessert Parlor,Cream Desserts Ice,800.0
Maxpresso,No,No,4.1,324,Koramangala 7th Block,Cafe,American Beverages Cafe Italian,700.0
Haji Ali Juice Centre,Yes,No,4.0,152,Koramangala 5th Block,Beverage Bites Quick Shop,Beverages Desserts Fast Food,350.0
Gelato Italiano,Yes,No,3.9,110,Koramangala 5th Block,Dessert Parlor,Bakery Cream Desserts Ice,200.0
Chocolat Boulangerie Patisserie,No,No,4.1,445,Koramangala 4th Block,Dessert Parlor,Bakery Beverages Continental Desserts Sandwich,400.0
The French Loaf,No,No,3.8,34,Koramangala 5th Block,Bakery,Bakery Desserts Sandwich,400.0
Cake Box,Yes,No,3.4,99,Koramangala 8th Block,Bakery,Bakery Desserts,400.0
The Donut Baker,No,No,3.8,62,Koramangala 7th Block,Bakery Dessert Parlor,Desserts,150.0
TRIGEREATO,Yes,Yes,4.4,103,Koramangala 8th Block,Cafe,Beverages Cafe Continental,700.0
Daily Bread,No,No,2.8,53,Koramangala 4th Block,Bakery Bites Quick,Bakery Fast Food Italian,600.0
Apsara Ice Cream,No,No,4.1,147,Koramangala 5th Block,Dessert Parlor,Cream Ice,200.0
Zero Kelvin,Yes,No,4.3,169,Koramangala 4th Block,Dessert Parlor,Beverages Desserts,450.0
Calvin's,Yes,No,3.8,433,Koramangala 5th Block,Bites Dessert Parlor Quick,Desserts,800.0
Gogula's Sweets & Chats,Yes,No,4.0,208,BTM,Bites Quick Shop Sweet,Fast Food Food Mithai Street,200.0
The Ganache Factory,Yes,No,4.1,43,Domlur,Bakery Dessert Parlor,Bakery Desserts,400.0
The Bier Library,Yes,Yes,4.3,576,Koramangala 6th Block,Casual Dining Microbrewery,BBQ Continental Indian North Pizza,2000.0
The Old Fashioned Bar,No,Yes,4.5,578,Koramangala 6th Block,Bar,Continental Finger Food Indian North,1000.0
Zee5 Loft,Yes,No,4.4,364,Koramangala 6th Block,Cafe,Cafe Indian North Pizza Salad Sandwich,500.0
The Smoke Co.,Yes,Yes,4.4,523,Koramangala 6th Block,Casual Dining,American European,2500.0
China Pearl,Yes,Yes,4.4,1856,Koramangala 6th Block,Casual Dining,Chinese,1100.0
Barleyz,No,No,3.8,4655,Koramangala 6th Block,Lounge Microbrewery,Chinese Continental Indian North,2000.0
Oye Amritsar,Yes,Yes,4.0,1879,Koramangala 6th Block,Casual Dining,Indian North,600.0
Carrots,Yes,Yes,4.1,602,Koramangala 6th Block,Casual Dining,Desserts Food Healthy Indian Italian North,1100.0
Anupam's Coast II Coast,Yes,No,4.1,845,Koramangala 6th Block,Casual Dining,Chinese Indian Mangalorean North Seafood,700.0
Baba Chatkora,Yes,No,4.2,823,Koramangala 6th Block,Casual Dining,Indian North,1000.0
Kargeens,Yes,No,4.1,991,Koramangala 6th Block,Cafe,Cafe Continental Italian,600.0
Bhojohori Manna,Yes,No,4.1,1962,Koramangala 6th Block,Casual Dining,Bengali Mughlai,650.0
Gudguda Prime Cafe,No,Yes,4.2,817,Koramangala 6th Block,Cafe,Cafe Chinese Continental Italian,800.0
Bundar,No,No,4.1,2450,Koramangala 6th Block,Cafe,Burger Cafe Desserts Fast Food,700.0
The Local - Terrace Drinkery,No,No,4.0,1408,Koramangala 6th Block,Casual Dining Pub,American BBQ Continental Pizza,1000.0
Dalma,Yes,No,3.9,475,Koramangala 6th Block,Casual Dining,Oriya,600.0
Waffle Magic,Yes,No,4.1,87,Koramangala 6th Block,Cafe,Cafe Desserts,700.0
China Bowl,Yes,No,3.9,457,Koramangala 6th Block,Casual Dining,Chinese,1000.0
Gorilla Barfare,No,No,4.2,271,Koramangala 6th Block,Casual Dining Pub,Burger Continental Pizza,1400.0
Go Italia,Yes,No,4.0,783,Koramangala 6th Block,Casual Dining,Fast Food Italian Pizza Salad,750.0
Hotel Tom's Restaurant,Yes,No,4.0,72,Koramangala 6th Block,Casual Dining,Chinese Indian Mangalorean North Seafood,1000.0
Chaat Street,Yes,No,3.9,293,Koramangala 6th Block,Kiosk,Food Indian North Street,250.0
Bansuri Sweets,No,No,3.7,73,Koramangala 6th Block,Bites Quick Shop Sweet,Food Indian Mithai North Street,250.0
Imperial Restaurant,Yes,No,3.6,242,Koramangala 6th Block,Casual Dining,Andhra Arabian Biryani Chettinad Chinese Indian Kerala Seafood South,800.0
Eshmeet Da Dhaba,Yes,No,3.1,121,Koramangala 6th Block,Casual Dining,Chinese Indian North,500.0
Raj Darbar,Yes,No,3.7,47,Koramangala 6th Block,Casual Dining,Bengali Chinese Indian North,800.0
Tattva Cafe,No,No,2.8,227,Koramangala 6th Block,Cafe,Cafe,450.0
Happy Plate,No,No,3.6,54,Koramangala 6th Block,Bites Quick,Chinese Fast Food Indian Indian North South,400.0
Rice and Rolls,No,No,2.7,61,Koramangala 6th Block,Bites Quick,Arabian Biryani Chinese Fast Food Indian North,500.0
Black Pepper Lounge - Case de Bengaluru,No,Yes,3.7,81,Koramangala 6th Block,Lounge,Finger Food,1200.0
Pizza Hut,Yes,No,3.9,490,Koramangala 6th Block,Casual Dining,Fast Food Pizza,750.0
Taco Bell,Yes,No,4.1,1963,Koramangala 6th Block,Bites Quick,American Fast Food Mexican,600.0
Kota Kachori,Yes,No,4.3,3621,Koramangala 6th Block,Bites Quick,Desserts Food Indian Mithai North Rajasthani Street,400.0
Eat Street,No,No,4.2,1534,Koramangala 6th Block,Bites Quick,Chinese Desserts Food Indian Italian North Street,600.0
Mooch Marod,No,No,4.2,94,Koramangala 6th Block,Bites Quick,Indian North,400.0
Podi Idly,Yes,No,4.3,656,Koramangala 6th Block,Bites Quick,Indian South,250.0
Khatta Meetha Teekha,Yes,No,4.3,193,Koramangala 6th Block,Bites Quick,Beverages Chinese Food Indian Mithai North Street,300.0
Fiero! Pizzeria,Yes,No,4.0,63,Koramangala 6th Block,Bites Quick,Fast Food Italian Pizza,400.0
Madurai Idly Shop,No,No,3.7,468,Koramangala 6th Block,Bites Quick,Indian South,200.0
White Elefan Coffee and Snack Bar,Yes,No,3.9,44,Koramangala 6th Block,Bites Quick,Beverages Chinese Coffee Fast Food,550.0
KFC,Yes,No,3.8,480,Koramangala 6th Block,Bites Quick,Burger Fast Food,450.0
Domino's Pizza,Yes,No,4.0,567,Koramangala 6th Block,Bites Quick,Fast Food Pizza,400.0
Delite Chaat House,Yes,No,3.9,503,Koramangala 6th Block,Bites Quick,Food Gujarati Street,300.0
Rolls & Co,Yes,No,3.9,213,Koramangala 6th Block,Bites Quick,Beverages Burger Rolls,400.0
Mitran Da Junction,Yes,No,4.1,322,Koramangala 6th Block,Bites Quick,Indian North,600.0
Chill-Um Cafe,Yes,Yes,4.1,152,Koramangala 6th Block,Bites Quick,Cafe Chinese Continental,600.0
Hungry Paunch,No,No,4.0,203,Koramangala 6th Block,Bites Court Food Quick,Bengali Bihari,350.0
The Breakfast Truck,No,No,3.8,65,Koramangala 6th Block,Bites Quick,Continental,550.0
DeliToons,No,No,4.0,126,Koramangala 6th Block,Bites Quick,Pizza Salad Sandwich,300.0
Kevins Kitchen,Yes,No,3.7,103,Koramangala 6th Block,Bites Quick,Biryani Chinese Indian North,400.0
The Black Pearl,No,Yes,4.7,10541,Koramangala 5th Block,Bar Casual Dining,European Indian Mediterranean North,1400.0
Truffles,No,No,4.7,14723,Koramangala 5th Block,Cafe Casual Dining,American Burger Cafe Steak,900.0
Koramangala Social,Yes,No,4.6,4707,Koramangala 7th Block,Lounge,American Chinese Finger Food Indian North,1500.0
XOOX Brewmill,No,Yes,4.4,1577,Koramangala 5th Block,Casual Dining Microbrewery,Asian European Indian Modern,2000.0
Gilly's Restobar,No,Yes,4.5,3919,Koramangala 5th Block,Casual Dining Pub,Continental Finger Food Indian North,1000.0
Bombay Adda,No,Yes,4.4,2372,Koramangala 7th Block,Bar Casual Dining,Indian Modern,1100.0
Buff Buffet Buff,Yes,Yes,4.5,3170,Koramangala 5th Block,Bar Casual Dining,Chinese Continental Indian North Salad Thai,1500.0
Biergarten,No,Yes,4.8,498,Koramangala 5th Block,Microbrewery Pub,Asian BBQ Chinese Continental European Finger Food Indian North,2100.0
Boho,No,Yes,4.2,1760,Koramangala 5th Block,Casual Dining,American Asian Continental Desserts Indian North,1200.0
The Hole in the Wall Cafe,No,No,4.6,7129,Koramangala 4th Block,Cafe,American Burger Cafe,600.0
Sultans of Spice,Yes,Yes,4.5,3471,Koramangala 5th Block,Casual Dining,Indian Mughlai North Salad,1300.0
The Reservoire,No,Yes,4.6,2592,Koramangala 5th Block,Bar Casual Dining,American Chinese Continental Indian North,1300.0
Indigo XP,No,No,4.2,2374,Koramangala 5th Block,Pub,Asian Continental Finger Food Indian North,1400.0
Dyu Art Cafe,No,No,4.5,3849,Koramangala 5th Block,Cafe,Cafe Fast Food Italian,800.0
Prost Brew Pub,No,Yes,4.5,7862,Koramangala 4th Block,Microbrewery Pub,American Continental Indian North Salad,1800.0
Brooks and Bonds Brewery,Yes,Yes,4.5,3991,Koramangala 5th Block,Casual Dining Microbrewery,Chinese Continental Finger Food Indian Mediterranean North,1600.0
The Fixx,No,Yes,4.3,223,Koramangala 4th Block,Bar Casual Dining,Chinese Continental Indian Indian Italian North South,1200.0
Fenny's Lounge And Kitchen,No,Yes,4.5,6383,Koramangala 7th Block,Bar Casual Dining,Continental Mediterranean Pizza Salad Seafood,1600.0
Sharief Bhai,No,Yes,4.4,1574,Koramangala 5th Block,Casual Dining,Biryani Mughlai,700.0
Ulavacharu,Yes,Yes,4.2,151,Koramangala 5th Block,Casual Dining,Andhra Chinese Indian North,900.0
Asia Kitchen By Mainland China,Yes,Yes,4.9,2249,Koramangala 5th Block,Bar Casual Dining,Asian Chinese Momos Thai,1500.0
ECHOES Koramangala,No,No,4.7,3217,Koramangala 5th Block,Cafe Casual Dining,American Chinese Continental Indian Italian North,750.0
Bonsouth,Yes,Yes,4.2,2619,Koramangala 5th Block,Casual Dining,Andhra Chettinad Kerala,1300.0
Chianti,No,Yes,4.7,4870,Koramangala 5th Block,Casual Dining,Italian,1500.0
House Of Commons,No,Yes,4.7,4449,Koramangala 5th Block,Bar,Asian Continental Indian North,1000.0
Foxtrot - House of Subculture,No,Yes,4.4,375,Koramangala 3rd Block,Cafe Lounge,American Asian Cafe Indian North,1000.0
Onesta,Yes,Yes,4.4,9084,Koramangala 4th Block,Cafe Casual Dining,Cafe Italian Pizza,600.0
Om Made Cafe,No,No,4.1,2737,Koramangala 5th Block,Cafe,Cafe Continental European Juices,1300.0
Punjab Bistro,Yes,Yes,4.4,459,Koramangala 7th Block,Bar Casual Dining,Indian North,1500.0
Drava,No,Yes,4.4,115,Koramangala 5th Block,Lounge,Asian Continental Indian North Pizza,1500.0
The Terrace at Gilly's Redefined,No,Yes,4.5,905,Koramangala 4th Block,Casual Dining Microbrewery,Asian Continental Finger Food Indian North,1400.0
The Boozy Griffin,No,Yes,4.6,5015,Koramangala 5th Block,Casual Dining Pub,Continental European,1800.0
Gramin,Yes,No,4.3,3463,Koramangala 7th Block,Casual Dining,Indian North,600.0
Roots,Yes,Yes,4.6,1892,Koramangala 1st Block,Bar Casual Dining,Chinese Continental Indian Indian Mangalorean North South,1200.0
Barbeque Nation,No,Yes,4.7,3632,Koramangala 1st Block,Casual Dining,BBQ European Indian Kebab Mediterranean North,1600.0
Simon Says Brew Works,No,Yes,4.5,2011,Koramangala 5th Block,Casual Dining Microbrewery,American Burger Continental Indian Italian Modern Pizza,1400.0
Meghana Foods,Yes,No,4.4,7238,Koramangala 5th Block,Casual Dining,Andhra Biryani Indian North Seafood,600.0
Tim Tai,Yes,Yes,4.4,3677,Koramangala 5th Block,Casual Dining,Asian Burmese Chinese Lankan Malaysian Sri Thai Vietnamese,1400.0
Nasi And Mee,Yes,Yes,4.4,2401,Koramangala 4th Block,Casual Dining,Asian Chinese Malaysian Momos Singaporean Thai,1000.0
Myu Bar at Gilly's Redefined,No,Yes,4.4,1244,Koramangala 4th Block,Bar Microbrewery,American Continental Finger Food Indian Italian North Pizza,1200.0
Third Wave Coffee Roasters,No,No,4.4,1227,Koramangala 4th Block,Cafe,Cafe Continental Desserts,800.0
Toscano,Yes,Yes,4.5,724,Koramangala 7th Block,Casual Dining,Italian Salad,1500.0
By The Blue - Grand Mercure,No,Yes,4.1,785,Koramangala 3rd Block,Casual Dining,Indian Mughlai North,1500.0
Sotally Tober,No,Yes,4.4,4090,Koramangala 4th Block,Bar Casual Dining,Asian Burger Chinese Finger Food Pizza,1200.0
Blue Tokai Coffee Roasters,Yes,No,4.0,78,Koramangala 8th Block,Cafe,Cafe Coffee,400.0
Kobe Sizzlers,No,Yes,4.1,1798,Koramangala 5th Block,Casual Dining,American Continental Fast Food Steak,1000.0
Happy Brew,No,Yes,4.0,2161,Koramangala 5th Block,Lounge,American BBQ Chinese Continental Salad,1000.0
1522 - The Pub,No,Yes,4.2,1745,Koramangala 4th Block,Pub,Chinese Continental Indian North,1400.0
Sixth Avenue Cafe And Patisserie,No,No,4.4,177,Koramangala 5th Block,Cafe Dessert Parlor,Cafe Desserts Italian,600.0
Big Wong XL,No,Yes,4.5,688,Koramangala 5th Block,Casual Dining,Asian Chinese Sushi Thai,1400.0
Nagarjuna,No,No,4.3,2307,Koramangala 5th Block,Casual Dining,Andhra Biryani Indian North,800.0
Crawl Street,Yes,Yes,4.3,2577,Koramangala 5th Block,Bar,Chinese Continental Finger Food Indian North,1200.0
Bistro Claytopia,Yes,Yes,4.1,1855,Koramangala 1st Block,Cafe,American Burger Cafe Italian,600.0
Pasta Street,Yes,Yes,4.5,267,Koramangala 4th Block,Casual Dining,Italian Pizza Salad,1300.0
B-hive,No,Yes,4.3,1561,Koramangala 1st Block,Pub,Finger Food Indian North,1200.0
A Hole Lotta Love Cafe,Yes,No,4.4,2873,Koramangala 5th Block,Cafe,American Beverages Burger Cafe Sandwich,600.0
Bob's Bar,No,No,3.7,0,Koramangala 7th Block,Bar Casual Dining,Finger Food Indian South,1000.0
The Beer Cafe,Yes,Yes,4.2,1179,Koramangala 4th Block,Pub,Burger Chinese Finger Food Italian,1300.0
Salt - Indian Restaurant Bar & Grill,Yes,Yes,4.4,684,Koramangala 7th Block,Casual Dining,Biryani Indian Mughlai North,1500.0
Harry's Bar + Cafe,Yes,Yes,4.2,1370,Koramangala 7th Block,Bar Casual Dining,American Asian Mexican,1400.0
Kopper Kadai,Yes,Yes,4.1,1697,Koramangala 5th Block,Casual Dining,Chinese Indian North,1200.0
Kritunga Restaurant,No,No,3.8,1162,Koramangala 5th Block,Casual Dining,Andhra Biryani Chinese Indian North,650.0
Cheers Pub Bar & Restro,No,Yes,3.7,0,Koramangala 4th Block,Bar Pub,Bar Continental Finger Food Food Indian North Pizza,1100.0
Bathinda Junction,Yes,Yes,4.1,1250,Koramangala 5th Block,Casual Dining,Indian North,600.0
Wok Paper Scissors,Yes,No,4.3,1593,Koramangala 5th Block,Casual Dining,Asian Chinese Malaysian Momos Thai,550.0
Cafe Thulp,Yes,No,4.1,3006,Koramangala 1st Block,Cafe,Burger Cafe Italian Salad,1000.0
Hunan,No,Yes,4.3,2254,Koramangala 5th Block,Casual Dining,Chinese Momos Thai,1100.0
Beer Adda,Yes,Yes,4.3,551,Koramangala 5th Block,Casual Dining Pub,Chinese Indian North Pizza,1000.0
Hungry Hippie,No,Yes,4.3,1474,Koramangala 5th Block,Cafe,Burger Cafe Continental Italian,800.0
Mimansa @ Foxtrot,Yes,Yes,4.4,192,Koramangala 3rd Block,Cafe,Cafe,1000.0
Anjappar,No,No,3.9,1161,Koramangala 4th Block,Casual Dining,Chettinad Indian South,650.0
Dice N Dine,Yes,Yes,4.3,1810,Koramangala 5th Block,Cafe Casual Dining,Cafe Continental Fast Food Italian Steak,900.0
Dialogues,No,No,4.1,315,Koramangala 4th Block,Cafe,Cafe Continental,600.0
Empire Restaurant,Yes,No,4.1,6959,Koramangala 5th Block,Casual Dining,Chinese Indian Indian Mughlai North South,750.0
Royal Treat,No,No,4.1,440,Koramangala 5th Block,Casual Dining,Biryani Chinese Indian North,500.0
Fava Bistro,Yes,Yes,4.4,387,Koramangala 5th Block,Bar Casual Dining,Beverages Italian Mediterranean Pizza,1500.0
Via Milano,Yes,Yes,4.2,1627,Koramangala 4th Block,Casual Dining,Desserts Italian Pizza Salad,1500.0
Chinita Real Mexican Food,No,No,4.5,739,Koramangala 5th Block,Casual Dining,Mexican,1200.0
Nuts Over Salads Cafe,Yes,Yes,4.4,211,Koramangala 5th Block,Cafe,Cafe Salad,800.0
YORK St.,Yes,No,4.4,950,Koramangala 5th Block,Cafe,Cafe Continental European,900.0
Roundup Cafe,Yes,Yes,4.2,515,Koramangala 5th Block,Cafe,Beverages Cafe Continental,800.0
Lot Like Crepes,Yes,No,4.6,1026,Koramangala 7th Block,Cafe Dessert Parlor,Cafe Continental Desserts,550.0
Enerjuvate Studio & Cafe,Yes,Yes,4.4,469,Koramangala 4th Block,Cafe,Beverages Cafe Continental Desserts Food Healthy Pizza Sandwich,800.0
Magnolia,Yes,Yes,4.1,676,Koramangala 3rd Block,Casual Dining,Asian Chinese Thai,900.0
Noodle Panda,Yes,No,4.3,342,Koramangala 5th Block,Casual Dining,Chinese Indonesian Japanese Malaysian Momos Thai Vietnamese,800.0
Market Table,No,Yes,4.5,553,Koramangala 5th Block,Cafe,Beverages Cafe Continental Mediterranean,900.0
Bamey's Restro Cafe,Yes,No,4.2,533,Koramangala 5th Block,Casual Dining,Asian Chinese Momos Nepalese Singaporean Thai,600.0
Pot-O-Noodles,No,Yes,4.3,170,Koramangala 4th Block,Casual Dining,Asian Chinese Japanese,800.0
Karama Restaurant,Yes,No,4.1,1574,Koramangala 5th Block,Casual Dining,Arabian Beverages Indian North,750.0
Stoked!,No,No,4.3,295,Koramangala 4th Block,Cafe,Cafe Italian Pizza,850.0
Oldtown Dilli,Yes,Yes,4.1,259,Koramangala 4th Block,Casual Dining,Afghan Indian Mughlai North Turkish,750.0
Nandhana Palace,No,Yes,4.1,819,Koramangala 4th Block,Bar Casual Dining,Andhra Biryani Chinese Indian North,800.0
What's In A Name,Yes,Yes,4.1,1795,Koramangala 5th Block,Pub,Asian European Finger Food Italian,1200.0
Hanoi - Vietnamese Cuisine,Yes,Yes,4.4,1811,Koramangala 4th Block,Casual Dining,Vietnamese,1000.0
Sathya's,No,Yes,4.1,759,Koramangala 3rd Block,Bar,Chinese Indian North,1200.0
154 Breakfast Club,Yes,Yes,4.0,1519,Koramangala 3rd Block,Cafe,Cafe Continental,900.0
Mr. Beans - Home Cafe,Yes,Yes,4.2,2714,Koramangala 3rd Block,Cafe,Cafe Continental Italian,1000.0
Tunday Kababi,Yes,No,3.9,1143,Koramangala 5th Block,Casual Dining,Indian Kebab North,500.0
Rajdhani Thali Restaurant,Yes,Yes,4.0,797,Koramangala 7th Block,Casual Dining,Indian North,900.0
Hyderabad Biryaani House,Yes,No,4.1,1118,Koramangala 5th Block,Casual Dining,Biryani Chinese Hyderabadi Indian North,750.0
Tibetan Mother's Kitchen,Yes,No,4.0,960,Koramangala 7th Block,Casual Dining,Chinese Momos Tibetan,500.0
Chung Wah,Yes,No,4.0,314,Koramangala 5th Block,Casual Dining,Chinese Momos Thai Vietnamese,800.0
Qube Cafe,Yes,No,4.2,170,Koramangala 4th Block,Cafe,Cafe Desserts,700.0
Koshe Kosha,Yes,No,4.0,578,Koramangala 1st Block,Casual Dining,Bengali Seafood,600.0
Naati Manae,Yes,Yes,3.9,485,Koramangala 5th Block,Casual Dining,Biryani Chinese Indian Indian North South,700.0
The Himalayan,No,Yes,4.4,329,Koramangala 5th Block,Casual Dining,Korean,1200.0
Cafe D'hide,Yes,Yes,4.2,876,Koramangala 5th Block,Cafe,American Cafe Continental Italian,600.0
Attic Lounge,Yes,Yes,4.0,1241,Koramangala 4th Block,Cafe,Cafe,700.0
Cafe Medley,Yes,No,4.2,1067,Koramangala 5th Block,Cafe,Burger Cafe Continental,800.0
Indian Coffee House & Restaurant,No,No,4.2,676,Koramangala 5th Block,Casual Dining,Chinese Indian Indian North South,650.0
1722 Urban Bistro,Yes,Yes,4.1,225,Koramangala 5th Block,Casual Dining,Biryani Chinese Fast Food Indian North,600.0
Mustard Cafe,Yes,No,4.1,895,Koramangala 3rd Block,Cafe,Burger Cafe Continental Food Healthy Italian Salad,800.0
Shanmukha,Yes,No,4.0,786,Koramangala 5th Block,Casual Dining,Andhra Biryani Chinese Indian North,800.0
Beijing Bites,Yes,Yes,4.0,864,Koramangala 5th Block,Casual Dining,Chinese Thai,850.0
Mani's Dum Biryani,Yes,No,3.9,783,Koramangala 5th Block,Casual Dining,Biryani,750.0
The Vacationer's Cafe,Yes,No,4.1,306,Koramangala 7th Block,Cafe,Cafe Continental Mexican,600.0
Tilt Gastro Lounge,No,Yes,4.1,1241,Koramangala 5th Block,Casual Dining Lounge,American Chinese Continental Indian North,1500.0
Swathi Maharaja,Yes,Yes,3.7,291,Koramangala 4th Block,Casual Dining,Andhra Biryani Chinese Indian North,750.0
Tangerine - Davanam Sarovar Portico Suites,Yes,Yes,4.0,151,Koramangala 2nd Block,Casual Dining,Asian Bakery Chinese Continental European Indian Italian Japanese North,1100.0
Bistro Oui,Yes,Yes,4.1,402,Koramangala 5th Block,Bar Cafe,Cafe Continental Salad Steak,1200.0
Zingron,Yes,No,4.0,515,Koramangala 7th Block,Casual Dining,Chinese Naga,750.0
Bulls N Bears - Bar Trade Xchange,No,Yes,3.9,155,Koramangala 5th Block,Bar Pub,Continental Finger Food Indian North Pizza,1000.0
Smally's Resto Cafe,Yes,Yes,4.2,1706,Koramangala 5th Block,Cafe,American Burger Cafe Italian Steak,650.0
Drunkling - Sizzlers and Pub,Yes,Yes,4.4,348,Koramangala 5th Block,Bar Casual Dining,Burger Chinese Continental Indian North Pizza Seafood,1000.0
Cafe Terra,Yes,No,4.1,779,Koramangala 1st Block,Cafe,Cafe Continental,700.0
Desipun,Yes,Yes,4.2,349,Koramangala 5th Block,Casual Dining,Indian North,700.0
Pipabu,Yes,No,3.8,75,Koramangala 4th Block,Casual Dining,Chinese Continental Italian,750.0
Little Lucknow,Yes,Yes,4.0,238,Koramangala 5th Block,Casual Dining,Indian Mughlai North,800.0
Baba Da Dhaba,No,Yes,4.1,453,Koramangala 7th Block,Casual Dining,Indian North,650.0
The Rendezvous,Yes,No,3.7,483,Koramangala 4th Block,Casual Dining,Chinese Continental Desserts Italian Salad Seafood Steak,800.0
Smoke - The Sizzler House,Yes,Yes,4.0,1391,Koramangala 7th Block,Casual Dining,BBQ Chinese Continental Italian Steak Thai,1100.0
Sharma's Malai & Masala,Yes,No,4.0,457,Koramangala 1st Block,Casual Dining,Indian North,650.0
Punjabi Nawabi,Yes,No,4.0,109,Koramangala 1st Block,Casual Dining,Indian North,500.0
JukeBox,No,Yes,3.9,284,Koramangala 7th Block,Bar Casual Dining,Chinese Continental Indian Italian North Parsi Steak,1000.0
Chai Galli,Yes,No,4.4,481,Koramangala 5th Block,Cafe,Cafe Food Street Tea,450.0
